"";"dgrid";"Fecha";"Accidentes";"Latitud.Inferior";"Latitud.Superior";"Longitud.Inferior";"Longitud.Superior";"semaf_count_d";"colegios_count_d";"paraderos_count_d";"parques_count_d";"estaciones_count_d";"viasprincipales_count_d";"viassecudarias_count_d";"viviendas_count_d";"hogares_count_d";"personas_count_d";"comercial_count_d";"lotes_count_d";"T_Med";"T_Max";"T_Min";"Hum_Rel_Med";"Prec_Tot";"Vis_Med";"Vel_Med_Viento";"Vel_Max_S_Viento";"Vel_Max_Raf_Viento";"Ind_Lluvia";"Ind_Nieve";"Ind_Tormenta";"Ind_Niebla";"Clas.Final";"TemporadaTrafico";"Eventos.Especiales";"CarrosCirculando"
"1";1;"1/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,8;21;7,5;62;0;11,9;12,4;22,2;0;0;0;0;0;"FestivoEntreSemana";"Bajo Trafico";"No";"Todos"
"2";1;"2/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12,8;21,3;4,6;72;0;11,9;12,4;28,7;0;0;0;0;0;"Habil";"Bajo Trafico";"No";"Todos"
"3";1;"3/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;21,3;6;69;0;11,7;12;25,9;27,8;0;0;0;0;"VisperaDescanso";"Bajo Trafico";"No";"Todos"
"4";1;"4/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,5;20,3;5,5;73;0;12,7;13;25,9;0;0;0;0;0;"Sabado";"Bajo Trafico";"No";"Todos"
"5";1;"5/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,4;22;7,6;74;NA;12,2;12,6;27,8;0;1;0;1;0;"DomingoFestivo";"Bajo Trafico";"No";"Todos"
"6";1;"6/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,4;21,6;11,7;85;1,02;10,3;9,6;22,2;0;1;0;1;0;"FestivoEntreSemana";"Bajo Trafico";"No";"Todos"
"7";1;"7/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,4;18;10;85;1,02;8;7,6;18,3;0;1;0;0;0;"Habil";"Bajo Trafico";"No";"SoloPares"
"8";1;"8/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,2;17,5;11;90;11,94;7,9;8,5;22,2;0;1;0;1;0;"Habil";"Bajo Trafico";"No";"SoloImpares"
"9";1;"9/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12,9;18,4;8,5;84;39,12;10,9;8,7;18,3;0;1;0;0;0;"Habil";"Bajo Trafico";"No";"SoloPares"
"10";1;"10/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12,8;20,1;6;72;0;11,1;8,7;20,6;0;0;0;0;0;"VisperaDescanso";"Bajo Trafico";"No";"SoloImpares"
"11";1;"11/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,2;21;9,6;70;0;9,5;9,8;32,4;0;0;0;1;0;"Sabado";"Bajo Trafico";"No";"Todos"
"12";1;"12/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,9;20;9,6;79;0;8,4;10;29,4;0;0;0;0;0;"DomingoFestivo";"Bajo Trafico";"No";"Todos"
"13";1;"13/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,2;19,6;6,8;76;0;9,3;10;25,9;0;0;0;0;0;"Habil";"Moderado Trafico";"No";"SoloPares"
"14";1;"14/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,3;19,4;7;71;0;11,4;8,9;18,3;0;0;0;0;0;"Habil";"Moderado Trafico";"No";"SoloImpares"
"15";1;"15/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,1;20;5,9;70;0;10,1;8,3;18,3;46,5;0;0;0;0;"Habil";"Moderado Trafico";"No";"SoloPares"
"16";1;"16/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,3;21;7;74;0;10;8,5;22,2;0;0;0;0;0;"Habil";"Moderado Trafico";"No";"SoloImpares"
"17";1;"17/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,3;20,7;9;68;0;10,5;11,5;28,7;0;0;0;0;0;"VisperaDescanso";"Moderado Trafico";"No";"SoloPares"
"18";1;"18/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,3;19,6;11;68;0;11,6;10,4;18,3;0;0;0;0;0;"Sabado";"Moderado Trafico";"No";"Todos"
"19";1;"19/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15,1;20;11;67;0,25;11,9;11,3;32,4;33,5;1;0;0;0;"DomingoFestivo";"Moderado Trafico";"No";"Todos"
"20";1;"20/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,2;22;7;69;0;12,4;11,5;22,2;0;0;0;0;0;"Habil";"Moderado Trafico";"No";"SoloImpares"
"21";1;"21/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,9;21,5;6;72;0;9,5;9,3;22,2;0;0;0;0;0;"Habil";"Moderado Trafico";"No";"SoloPares"
"22";1;"22/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,3;19;9,9;76;NA;10,1;9,1;25,9;0;1;0;0;0;"Habil";"Moderado Trafico";"No";"SoloImpares"
"23";1;"23/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,9;20;7,8;72;20,07;10,5;12,2;29,4;0;1;0;0;1;"Habil";"Moderado Trafico";"No";"SoloPares"
"24";1;"24/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;21;2,8;74;0;9,7;9,1;25,9;0;0;0;0;1;"VisperaDescanso";"Moderado Trafico";"No";"SoloImpares"
"25";1;"25/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,5;20,7;8,7;75;1,02;9,7;8,9;25,2;0;1;0;0;0;"Sabado";"Moderado Trafico";"No";"Todos"
"26";1;"26/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,3;19,7;8;83;0;8,9;9,8;18,3;0;1;0;0;1;"DomingoFestivo";"Moderado Trafico";"No";"Todos"
"27";1;"27/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,6;20;6,9;79;0;8,9;10;28,7;0;0;0;0;0;"Habil";"Normal Trafico";"No";"SoloPares"
"28";1;"28/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,2;20;8,9;74;NA;11,1;9,1;22,2;0;1;0;0;0;"Habil";"Normal Trafico";"No";"SoloImpares"
"29";1;"29/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,2;20;7,7;75;0,76;10,3;10,4;22,2;0;1;0;0;0;"Habil";"Normal Trafico";"No";"SoloPares"
"30";1;"30/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,2;20;10;75;0;10,5;8,5;25,9;0;0;0;0;0;"Habil";"Normal Trafico";"No";"SoloImpares"
"31";1;"31/01/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,7;20,4;10;71;0;10;9,8;25,9;0;0;0;0;0;"VisperaDescanso";"Normal Trafico";"No";"SoloPares"
"32";1;"1/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12,4;20,4;3,9;76;0;10,1;11,3;29,4;0;0;0;0;1;"Sabado";"Normal Trafico";"No";"Todos"
"33";1;"2/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12,9;24;7;78;0;9,8;10,2;25,9;0;0;0;0;1;"DomingoFestivo";"Normal Trafico";"No";"Todos"
"34";1;"3/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,6;20;7,8;74;0;10,8;10,2;22,2;0;0;0;0;0;"Habil";"Normal Trafico";"No";"SoloPares"
"35";1;"4/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;21,4;7,6;73;0;8,5;9,1;27,8;0;0;0;1;0;"Habil";"Normal Trafico";"No";"SoloImpares"
"36";1;"5/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,9;21,4;7;74;0;10,6;10,7;28,7;0;0;0;0;0;"Habil";"Normal Trafico";"No";"SoloPares"
"37";1;"6/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,6;20,2;7;71;NA;11,7;9,8;25,9;0;1;0;0;0;"Habil";"Bajo Trafico";"No";"SoloImpares"
"38";1;"7/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12,8;20,5;8;78;NA;7,9;8,7;20,6;0;1;0;1;0;"VisperaDescanso";"Normal Trafico";"No";"SoloPares"
"39";1;"8/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,9;20;11,8;67;1,02;10,8;11,9;27,8;0;1;0;0;0;"Sabado";"Normal Trafico";"No";"Todos"
"40";1;"9/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12,6;20;5,2;76;0;11,4;7,2;22,2;0;1;0;1;0;"DomingoFestivo";"Normal Trafico";"No";"Todos"
"41";1;"10/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,9;21;8;70;14,99;11,6;11,3;25,9;0;0;0;0;0;"Habil";"Normal Trafico";"No";"SoloImpares"
"42";1;"11/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15,3;21;10,7;63;0;11,1;10,9;20,6;0;0;0;0;0;"Habil";"Normal Trafico";"No";"SoloPares"
"43";1;"12/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,6;21;6,8;71;NA;11,6;9,3;22,2;0;1;0;0;0;"Habil";"Normal Trafico";"No";"SoloImpares"
"44";1;"13/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12,5;20,6;7,9;81;2,03;10,3;9,1;20,6;0;1;0;1;0;"Habil";"Normal Trafico";"No";"SoloPares"
"45";1;"14/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,3;20;6,8;76;6,1;10,1;12,2;24,1;0;1;0;1;0;"VisperaDescanso";"Normal Trafico";"No";"SoloImpares"
"46";1;"15/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,7;21;9;71;0;10;12;27,8;0;1;0;1;0;"Sabado";"Normal Trafico";"No";"Todos"
"47";1;"16/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12,9;21;6;79;1,02;9,2;10,9;33,5;0;1;0;0;1;"DomingoFestivo";"Normal Trafico";"No";"Todos"
"48";1;"17/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12,9;20,8;7;80;2,03;9;8,9;22,2;0;1;0;1;1;"Habil";"Normal Trafico";"No";"SoloPares"
"49";1;"18/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,6;20;9,6;77;1,02;8,7;9,6;25,9;0;1;0;1;0;"Habil";"Normal Trafico";"No";"SoloImpares"
"50";1;"19/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;20;11,9;83;1,02;9,5;6,9;14,4;0;1;0;0;0;"Habil";"Normal Trafico";"No";"SoloPares"
"51";1;"20/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;19;10,6;79;2,03;9,3;7,4;24,1;0;1;0;1;0;"Habil";"Normal Trafico";"No";"SoloImpares"
"52";1;"21/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,6;19,1;9;86;0;8,4;6,1;25,9;0;1;0;0;0;"VisperaDescanso";"Normal Trafico";"No";"SoloPares"
"53";1;"22/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,9;20;10,6;84;4,06;6,9;8;22,2;0;1;0;0;0;"Sabado";"Normal Trafico";"No";"Todos"
"54";1;"23/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;20;8,7;77;2,03;9,3;8,1;25,9;0;1;0;1;1;"DomingoFestivo";"Normal Trafico";"No";"Todos"
"55";1;"24/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,3;19,6;10;79;3,05;9,8;8,9;18,3;0;1;0;0;0;"Habil";"Normal Trafico";"No";"SoloImpares"
"56";1;"25/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,8;19,2;9;84;0;9,2;8,1;18,3;0;1;0;0;1;"Habil";"Normal Trafico";"No";"SoloPares"
"57";1;"26/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,2;19;11;83;0,51;7,9;8,9;25,9;0;0;0;0;0;"Habil";"Normal Trafico";"No";"SoloImpares"
"58";1;"27/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,3;18,8;10;82;0;10,9;8,9;21,7;0;1;0;0;0;"Habil";"Normal Trafico";"No";"SoloPares"
"59";1;"28/02/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,2;18,4;10,9;89;2,03;8,5;9,3;39,6;0;1;0;0;1;"VisperaDescanso";"Normal Trafico";"No";"SoloImpares"
"60";1;"1/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,7;18,4;10,6;85;14,99;8,7;8,9;25,9;0;1;0;1;0;"Sabado";"Normal Trafico";"No";"Todos"
"61";1;"2/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,7;18;9;82;3,05;10,5;10;21,7;0;0;0;0;0;"DomingoFestivo";"Normal Trafico";"No";"Todos"
"62";1;"3/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,1;18,4;7,5;82;0,76;7,9;9,6;25,9;0;1;0;1;1;"Habil";"Normal Trafico";"No";"SoloPares"
"63";1;"4/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,6;18;9;84;5,08;7,7;8,5;22,2;0;1;0;0;1;"Habil";"Normal Trafico";"No";"SoloImpares"
"64";1;"5/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,3;19;11;81;0,25;9,2;9,1;22,2;0;1;0;1;0;"Habil";"Normal Trafico";"No";"SoloPares"
"65";1;"6/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,3;19,3;11;81;9,91;7,7;8,1;16,5;0;0;0;0;0;"Habil";"Normal Trafico";"No";"SoloImpares"
"66";1;"7/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12,9;18;8;84;0;7,7;5,7;18;0;1;0;1;1;"VisperaDescanso";"Normal Trafico";"No";"SoloPares"
"67";1;"8/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;20;10,5;81;11,94;9,2;9,1;29,4;0;1;0;0;0;"Sabado";"Normal Trafico";"No";"Todos"
"68";1;"9/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,7;19,8;7,5;80;0;11,1;9,4;25,9;0;0;0;0;1;"DomingoFestivo";"Normal Trafico";"No";"Todos"
"69";1;"10/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,6;19;7;77;0;10,3;10,4;28,7;0;0;0;0;0;"Habil";"Normal Trafico";"No";"SoloImpares"
"70";1;"11/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,6;19,4;9;83;0;6,4;9,4;25,9;0;0;0;1;1;"Habil";"Normal Trafico";"No";"SoloPares"
"71";1;"12/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,9;20;11,8;81;NA;7,7;9,3;29,4;0;1;0;1;0;"Habil";"Normal Trafico";"No";"SoloImpares"
"72";1;"13/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;20;10;83;19,05;6,6;9,6;24,1;0;1;0;1;1;"Habil";"Normal Trafico";"No";"SoloPares"
"73";1;"14/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,9;19,3;9;82;13,97;7,2;8,7;29,4;0;1;0;1;1;"VisperaDescanso";"Normal Trafico";"No";"SoloImpares"
"74";1;"15/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14;18;12;87;0;6;8,5;22,2;0;1;0;1;0;"Sabado";"Normal Trafico";"No";"Todos"
"75";1;"16/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,1;19;11;85;1,02;6,8;9,8;29,4;31,7;1;0;1;1;"DomingoFestivo";"Normal Trafico";"No";"Todos"
"76";1;"17/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,5;20;10;73;12,95;9;9,8;22,2;0;1;0;0;0;"Habil";"Normal Trafico";"No";"SoloPares"
"77";1;"18/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,7;21;10;70;0;10,9;12;22,2;0;0;0;0;0;"Habil";"Normal Trafico";"No";"SoloImpares"
"78";1;"19/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,8;20,6;9;75;0;10;10,4;22,2;0;0;0;0;0;"Habil";"Normal Trafico";"No";"SoloPares"
"79";1;"20/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,8;19;11;68;0;10;12,2;22,2;0;0;0;0;0;"Habil";"Normal Trafico";"No";"SoloImpares"
"80";1;"21/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,4;21,2;8;69;0;11,1;11,1;22,2;0;0;0;0;0;"VisperaDescanso";"Normal Trafico";"No";"SoloPares"
"81";1;"22/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,8;21;8,8;64;0;9;10,2;18,3;31,7;0;0;0;0;"Sabado";"Moderado Trafico";"No";"Todos"
"82";1;"23/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,8;21;9,7;67;0;11,7;10,9;18;0;0;0;0;0;"DomingoFestivo";"Moderado Trafico";"No";"Todos"
"83";1;"24/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,6;20;8;75;NA;10,9;7,8;25,9;0;1;0;1;0;"FestivoEntreSemana";"Moderado Trafico";"No";"Todos"
"84";1;"25/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,5;19;11;77;4,06;11,6;9,4;14,8;0;1;0;0;0;"Habil";"Normal Trafico";"No";"SoloPares"
"85";1;"26/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,9;19;9;75;0;10,5;9,3;18,3;0;0;0;0;0;"Habil";"Normal Trafico";"No";"SoloImpares"
"86";1;"27/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,7;19;9;67;0;10,6;12,4;31,7;0;0;0;1;0;"Habil";"Normal Trafico";"No";"SoloPares"
"87";1;"28/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,3;22;8;64;0;9,2;8,7;18,3;0;0;0;0;1;"VisperaDescanso";"Normal Trafico";"No";"SoloImpares"
"88";1;"29/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,1;22;4;73;0;7,9;10;25,9;0;0;0;0;1;"Sabado";"Normal Trafico";"No";"Todos"
"89";1;"30/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,2;22,4;5,1;74;0;8;11,3;31,7;0;0;0;0;0;"DomingoFestivo";"Normal Trafico";"No";"Todos"
"90";1;"31/03/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13;20,7;4,9;74;0;8,5;9,6;24,1;0;0;0;0;1;"Habil";"Normal Trafico";"No";"SoloPares"
"91";1;"1/04/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,4;20,4;6,5;67;0;8,7;10,9;25,9;0;0;0;0;1;"Habil";"Normal Trafico";"No";"SoloPares"
"92";1;"2/04/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,7;20;11;67;0;9,8;12,8;27,8;0;1;0;0;0;"Habil";"Normal Trafico";"No";"SoloImpares"
"93";1;"3/04/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,7;20;11;75;0;10,8;12;25,9;0;0;0;1;0;"Habil";"Normal Trafico";"No";"SoloPares"
"94";1;"4/04/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,5;21;11;76;0,51;9;6,9;18,3;0;1;0;1;1;"VisperaDescanso";"Normal Trafico";"No";"SoloImpares"
"95";1;"5/04/2014";0;4,81832;4,83;-74,07659;-74,04987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,4;20,6;10,6;76;3,05;10,1;9,8;22,2;0;1;0;0;0;"Sabado";"Normal Trafico";"No";"Todos"
