"dgrid","Fecha","accidentes","Clas.Final","TemporadaTrafico","Eventos.Especiales","DiaMes","T_Med","T_Max","T_Min","Hum_Rel_Med","Prec_Tot","Vis_Med","Vel_Med_Viento","Vel_Max_S_Viento","Vel_Max_Raf_Viento","Ind_Lluvia","Ind_Nieve","Ind_Tormenta","Ind_Niebla","semaf_count_d","colegios_count_d","paraderos_count_d","parques_count_d","estaciones_count_d","viasprincipales_count_d","viassecudarias_count_d","viviendas_count_d","hogares_count_d","personas_count_d","comercial_count_d","lotes_count_d"
2,"2014-03-29",1,"Sabado","Normal Trafico","No",29,13.1,22,4,73,0,7.9,10,25.9,0,0,0,0,1,NA,7,NA,11,1,2,65,NA,NA,NA,NA,NA
3,"2014-07-01",3,"Habil","Bajo Trafico","No",1,13.9,19,9,78,NA,11.3,9.3,21.7,0,1,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-12-01",1,"Habil","Moderado Trafico","No",1,14.2,19.2,10,70,0,12.1,13.1,25.2,0,0,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-10-02",1,"Habil","Normal Trafico","No",2,13.8,18.3,9.8,68,0,11.3,14.1,33.5,0,1,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-01-03",1,"VisperaDescanso","Bajo Trafico","No",3,14.1,21.3,6,69,0,11.7,12,25.9,27.8,0,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-04-03",1,"Habil","Normal Trafico","No",3,14.7,20,11,75,0,10.8,12,25.9,0,0,0,1,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-05-03",1,"Sabado","Normal Trafico","No",3,14.6,22,9,62,0,12.1,11.5,22.2,0,0,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-11-05",1,"Habil","Normal Trafico","No",5,14.9,21,12,79,0.25,10.9,8.7,18.3,0,0,0,0,1,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-03-07",1,"VisperaDescanso","Normal Trafico","No",7,12.9,18,8,84,0,7.7,5.7,18,0,1,0,1,1,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-07-10",1,"Habil","Bajo Trafico","No",10,13.3,19,9,75,2.03,11.6,12,25.9,0,0,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-12-10",1,"Habil","Moderado Trafico","No",10,13.3,18,10,85,13.97,7.7,8.1,18.3,0,1,0,1,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-04-11",1,"VisperaDescanso","Normal Trafico","No",11,13.9,19.5,8.9,68,0,12.2,14.3,25.9,0,0,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-12-11",1,"Habil","Moderado Trafico","No",11,12.9,17.8,11,86,1.02,7.7,5.6,11.1,0,1,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-06-12",1,"Habil","Moderado Trafico","No",12,14.3,19.6,9,70,0,12.7,13.1,22.2,0,0,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-01-13",1,"Habil","Moderado Trafico","No",13,13.2,19.6,6.8,76,0,9.3,10,25.9,0,0,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-06-14",1,"Sabado","Moderado Trafico","Partido Colombia",14,14.2,20,9.6,75,3.05,10.9,10.9,22.2,0,1,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-07-14",1,"Habil","Bajo Trafico","No",14,12.9,16.2,10,77,6.1,9.3,13,33.5,0,1,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-11-15",1,"Sabado","Moderado Trafico","No",15,12.4,19,4.8,80,0.51,9.8,7.2,22.2,0,1,0,1,1,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-08-16",1,"Sabado","Moderado Trafico","No",16,13.9,19,9.4,67,0,12.2,14.4,29.4,0,1,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-11-16",1,"DomingoFestivo","Moderado Trafico","No",16,12.8,18.5,10,83,0,11.4,9.1,20.6,0,1,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-12-17",1,"Habil","Moderado Trafico","Novenas",17,13.7,20.4,8,78,0,7.4,8.7,18.3,0,0,0,0,1,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-09-18",1,"Habil","Normal Trafico","No",18,13.8,19.9,10.5,80,0.76,10.6,8.1,18.3,0,1,0,1,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-10-18",2,"Sabado","Normal Trafico","No",18,13.9,17,10.9,77,0,11.6,9.3,27.8,0,1,0,1,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-06-20",1,"VisperaDescanso","Bajo Trafico","No",20,13.9,18.7,7.9,71,0,12.7,13.9,32.4,0,1,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-03-21",1,"VisperaDescanso","Normal Trafico","No",21,14.4,21.2,8,69,0,11.1,11.1,22.2,0,0,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-08-21",1,"Habil","Normal Trafico","No",21,13.3,19.4,7.9,74,0,10.9,8,22.2,0,0,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-08-22",1,"VisperaDescanso","Normal Trafico","No",22,12.9,20,7,74,NA,11.4,9.6,22.2,0,1,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-03-23",1,"DomingoFestivo","Moderado Trafico","No",23,14.8,21,9.7,67,0,11.7,10.9,18,0,0,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-01-24",1,"VisperaDescanso","Moderado Trafico","No",24,12,21,2.8,74,0,9.7,9.1,25.9,0,0,0,0,1,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-03-24",1,"FestivoEntreSemana","Moderado Trafico","No",24,13.6,20,8,75,NA,10.9,7.8,25.9,0,1,0,1,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-10-24",1,"VisperaDescanso","Normal Trafico","No",24,13.1,20.4,7,80,0,10.8,7,18,0,1,1,1,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-01-26",1,"DomingoFestivo","Moderado Trafico","No",26,13.3,19.7,8,83,0,8.9,9.8,18.3,0,1,0,0,1,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-10-28",1,"Habil","Normal Trafico","No",28,12.1,20,4,83,0,9.7,7.2,22.2,0,1,0,1,1,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-08-29",1,"VisperaDescanso","Normal Trafico","No",29,13.4,19,6.5,66,0,11.7,17.2,37,0,0,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-12-29",1,"Habil","Bajo Trafico","No",29,12.4,20.4,4.9,61,0,11.7,11.9,24.1,0,0,0,0,1,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-12-30",1,"Habil","Bajo Trafico","No",30,13.4,20.4,4,65,0,12.4,12.8,25.9,27.8,0,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
3,"2014-12-31",2,"VisperaDescanso","Bajo Trafico","Año nuevo",31,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,12,1,10,0,1,66,600,582,1993,0,43
4,"2014-02-01",1,"Sabado","Normal Trafico","No",1,12.4,20.4,3.9,76,0,10.1,11.3,29.4,0,0,0,0,1,NA,12,39,10,1,4,201,490,570,2158,282,283
4,"2014-07-01",1,"Habil","Bajo Trafico","No",1,13.9,19,9,78,NA,11.3,9.3,21.7,0,1,0,0,0,NA,12,39,10,1,4,201,490,570,2158,282,283
