OBJECTID,Código del establecimiento,Nombre del establecimiento,Código de la sede,Nombre de la sede,Orden de la sede,Sector,Tipo de administración,Naturaleza jurídica,Dirección,Número telefónico,Número de fax,Correo electrónico,Página WEB,Calendario,Jornada,Nivel de atención,Modelo educativo,Proyecto pedagógico,Tipo de discapacidad atendida,Tipo de talento especial,Grupo étnico atendido,Situación de conflicto atendida,Beneficiarios refrigerio escolar,Beneficiarios comida caliente,Beneficiarios ruta escolar,Beneficiarios subsidio transporte,Usuarios programa “Al colegio en BICI”,Categoría por resultado pruebas SABER 11,Tasa de deserción escolar (%),Zona,Género,coord_x,coord_y
19,111001046957,COLEGIO TOBERIN (IED),111001046957,TOBERIN,A,Oficial,Distrital,Oficial,CL 166 # 16 C - 15,6696782 / 6790327,6790780,cedtoberin1@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Aceleración del Aprendizaje,40X40,Otra,,,,1186,730,21,42,0,B,"4,52",Urbana,Mixto,"-74,0394427594527","4,745182712792175"
20,111001046957,COLEGIO TOBERIN (IED),111001086843,BABILONIA,B,Oficial,Distrital,Oficial,KR 14 C # 164 - 75,6721642 / 6745420,,cedtoberin1@redp.edu.co,,A,Mañana / Tarde,Básica Primaria,Educación Tradicional,40X40,Otra,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,03599127133268","4,7431140344160125"
21,111001046957,COLEGIO TOBERIN (IED),111848000082,LAS ORQUIDEAS,C,Oficial,Distrital,Oficial,KR 17 # 163 A - 22,6708717 / 6708571,,cedtoberin1@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,Otra,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,04027943054538","4,742946664101424"
22,111001102059,COLEGIO UNION COLOMBIA (IED),111848002671,PILOTO DE APLICACION,A,Oficial,Distrital,Oficial,KR 7 A # 182 A - 07,6796956,6771356,enalpilotodeaplica1@redp.edu.co,www.unioncolombia.com,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,,,,,Desplazado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,02765332535947","4,759422959345489"
23,111001102059,COLEGIO UNION COLOMBIA (IED),111848000252,SANTA CLAUDIA,B,Oficial,Distrital,Oficial,CL 189 # 7 - 05,6701134 / 6771356,6694832 / 6796956,enalpilotodeaplica1@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,,,,,Desplazado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,02803703713981","4,765449526483704"
24,111848002662,COLEGIO USAQUEN (IED),111848002662,USAQUEN,A,Oficial,Distrital,Oficial,CL 127 C # 9 A - 03,2586668 / 6156815,2586668 EXT 103,colescoloniaescola1@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,40X40,,,,,4090,0,98,244,0,A,"9,02",Urbana,Mixto,"-74,03437577166844","4,706515853442721"
25,111848002662,COLEGIO USAQUEN (IED),111848000112,LOS CEDRITOS,B,Oficial,Distrital,Oficial,AK 9 # 146 - 40,2591257,2586668 EXT 103,colescoloniaescola1@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,03193004812029","4,724307893198108"
26,111001102156,COLEGIO CAMPESTRE MONTE VERDE (IED),111001033901,PLAN PADRINOS SAN LUIS,A,Oficial,Distrital,Oficial,KR 5 C ESTE # 98 A - 55,6320241 / 6485874,6485874,campestremonteverde@redp.edu.co,www.campestremonteverde.edu.co,A,Mañana / Tarde / Noche,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Aceleración del Aprendizaje / Educación para Jóvenes en Extraedad y Adultos,40X40,Motora / Cognitiva,Capacidades Excepcionales,Afrocolombiano,Desplazado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Rural (Reserva Forestal),Mixto,"-74,02129717249747","4,670600148081828"
27,111001102156,COLEGIO CAMPESTRE MONTE VERDE (IED),211001014545,JULIO ANTONIO GAITAN,B,Oficial,Distrital,Oficial,TV 3 # 99 - 27,6320242,,campestremonteverde@redp.edu.co,www.campestremonteverde.edu.co,A,Mañana / Tarde,Preescolar,Preescolar Escolarizado,40X40,Motora / Cognitiva,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Rural (Reserva Forestal),Mixto,"-74,03034242677258","4,6752390389259135"
37,211001065271,COLEGIO EL VERJON (IED),211001027485,EL VERJON ALTO,A,Oficial,Distrital,Oficial,KM 13 VIA CHOACHI,6483984,,escdielverjonbajoe2@redp.edu.co,,A,Única,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,,,,,,0,0,231,0,0,C,No Aplica,Rural (Reserva Forestal),Mixto,"-74,02349294790265","4,578004457300512"
