OBJECTID,Código del establecimiento,Nombre de la sede,Orden de la sede,Sector,Tipo de administración,Naturaleza jurídica,Dirección,Número telefónico,Número de fax,Correo electrónico,Página WEB,Calendario,Jornada,Nivel de atención,Tipo de discapacidad atendida,Tipo de talento especial,Grupo étnico atendido,Situación de conflicto atendida,Categoría por resultado pruebas SABER 11,Nombre Rector,Matriculados,Tasa de deserción escolar (%),Zona,Género,coord_x,coord_y
25,311001092630,JARDIN INFANTIL TRINEO DE LA ALEGRIA,A,No Oficial,Privado,Persona Natural,CL 17 SUR # 13 - 35,8000852 / 3143833872,,jitrineoalegria@gmail.com,,A,Mañana,Preescolar,,,,,No Aplica,MARTHA LUCIA RINCON VALENZUELA,41,0,Urbana,Mixto,"-74,09777814397273","4,582522480793067"
26,311001043418,JARDIN PSICOPEDAGOGICO LA PEQUEÑA LULU,A,No Oficial,Privado,Persona Natural,CL 14 SUR # 12 B - 46,2722745,5604949,lulu3514@hotmail.com / luzmarinape@yahoo.es,http://jardinlulu.amawebs.com/,A,Mañana,Preescolar,,,,,No Aplica,LUZ MARINA PEÑA ROJAS,25,0,Urbana,Mixto,"-74,09582479421834","4,582468720146016"
27,311001019177,INSTITUTO JULIO MARIA MATOVELLE,A,No Oficial,Privado,Comunidad Religiosa,CL 18 SUR # 12 D - 74,2397535 / 2398776,2398776,institutojuliomariamatovelle@gmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,HNA JUANA GARRIDO LOPEZ,158,0,Urbana,Mixto,"-74,09856763734332","4,582197437365602"
28,311001043621,JARDIN INFANTIL CARTAGENA DE INDIAS,A,No Oficial,Privado,Persona Natural,CL 19 SUR # 12 F - 24,3664694 / 2720769,4092756,cartagena1324@hotmail.com,,A,Mañana,Preescolar,,,,,No Aplica,MYRIAM VALDERRAMA ALCALA,71,0,Urbana,Mixto,"-74,09929969872287","4,581376456186767"
29,311001101116,COLEGIO BILINGUE SAN GABRIEL ARCANGEL,A,No Oficial,Privado,Persona Natural,AV 1 DE MAYO # 11 B - 36 SUR,2392021 / 8106420,2392021,rectoria@colegiobilinguesangabrielarcangel.edu.co,www.colegiobilinguesangabrielarcangel.edu.co,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,OLGA MIREYA LEGUIZAMON BAYONA,165,0,Urbana,Mixto,"-74,09760375941651","4,578271713941948"
30,311001087466,JARDIN INFANTIL INFANCIA CREATIVA,A,No Oficial,Privado,Persona Natural,CL 19 SUR # 10 B - 16,2393531,,maitespi@gmail.com / maitespia@gmail.com,,A,Mañana,Preescolar,,,,,No Aplica,MARIA TERESA ESPINOSA DUARTE,22,0,Urbana,Mixto,"-74,09543652887781","4,577888150068758"
31,311001076731,COLEGIO GIMNASIO SOSIEGO,A,No Oficial,Privado,Persona Natural,CL 17 SUR # 8 A - 21,5606396 / 3106993255,,colegiogimnasiososiego@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,ALBA ACENETH PEÑA CASTILLO,167,No Aplica,Urbana,Mixto,"-74,0914955209117","4,577245305732822"
34,311001000085,JARDIN INFANTIL Y GUARDERIA BETANIA,A,No Oficial,Privado,Comunidad Religiosa,KR 7 A # 11 - 49 SUR,3330062 / 7468309 / 3144056489,,consuelobernal1@hotmail.com,,A,Mañana,Preescolar,,,,,No Aplica,MELBA CONSUELO BERNAL RINCON,141,0,Urbana,Mixto,"-74,08775753758968","4,57966556216448"
35,311001043949,COLEGIO EUGENIA RAVASCO,A,No Oficial,Privado,Comunidad Religiosa,CL 12 SUR # 7 A - 79,2461723 / 3134328950,3339636,jardin.eugeniaravasco@hotmail.com / jardin.ravasco@hotmail.com,,A,Mañana,Preescolar,,,,,No Aplica,HNA DIANA MARIA GOMEZ CASTAÑEDA,91,0,Urbana,Mixto,"-74,08889787158776","4,579838823120314"
36,311001029474,COLEGIO NUEVA ALIANZA INTEGRAL,A,No Oficial,Privado,Sociedad,KR 7 A # 7 - 60 SUR,2892845 / 3007088576,3373127,contacto@colegionai.edu.co / secretaria@colegionai.edu.co,www.colegionai.edu.co,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A+,CARMEN AMANDA ROMERO VIVAS,488,0,Urbana,Mixto,"-74,08550787764052","4,581551047359117"
53,311001091374,COLEGIO PSICOPEDAGOGICO ARNOLD GESELL,A,No Oficial,Privado,Persona Natural,CL 50 B SUR # 34 - 50,7574929,2040369,colpsicoarnolg@hotmail.com / colgeselistas@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",Auditiva / Visual / Cognitiva / Autismo / Múltiple,,,,No Aplica,KATHERYN MILENA VALLEJOS BAUTISTA,89,"4,22",Urbana,Mixto,"-74,13613363293136","4,585812972483726"
54,311102000531,COLEGIO DE LA PRESENTACION DE FATIMA,A,No Oficial,Privado,Comunidad Religiosa,CL 52 A SUR # 35 - 73,7134334 / 3102722126 / 3209019728,7134334,info@colpresentacionfatima.edu.co / colpresentacionfatima@hotmail.com,www.colpresentacionfatima.com,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A,MARIA YENNY SANCHEZ PINZON,744,0,Urbana,Mixto,"-74,13919791482456","4,585439142507229"
57,311001092664,COLEGIO CRISTIANO SHEKINAH,A,No Oficial,Privado,Persona Natural,CL 67A SUR # 47 - 16,7163813 / 7177383,7163813,shekinah.cris@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",Visual / Cognitiva / Autismo / Múltiple / Otra,,,,No Aplica,ESPERANZA REYES HEREDIA,311,"3,47",Urbana,Mixto,"-74,15454348897178","4,576232108438818"
58,311001020213,LICEO CAMPESTRE CAFAM,A,No Oficial,Privado,Caja de Compensación,DG 58 SUR # 29 - 26,2702262 / 7412900 / 7132856 / 3188969657,2702262,liceocampestre@cafam.com.co / dachury@cafam.com.co / jvillarraga@cafam.com.co,www.portalliceo.com,A,Completa,Preescolar / Básica Primaria / Básica Secundaria / Media,,,,,A+,JENNIFER ELIZABETH VILLARRAGA SARMIENTO,817,0,Urbana,Mixto,"-74,14333314125005","4,576578136786831"
59,311001106215,GIMNASIO DE ENSEÑANZA LA SABANA,A,No Oficial,Privado,Persona Natural,KR 65 B # 61 - 20 SUR,2040612,5644060,ges@gimnasiolasabana.com,www.gimnasiolasabana.com,A,Mañana,Preescolar,,,,,No Aplica,SANDRA PATRICIA SARRIA RODRIGUEZ,90,4,Urbana,Mixto,"-74,15627881401346","4,591347586550297"
60,311001092478,GIMNASIO OBREGON,A,No Oficial,Privado,Sociedad,CL 62 BIS SUR # 67 - 19,2385969 / 7283773 / 80583890,EXT 0 TODAS LAS LINEAS,gimnasiobregon@gmail.com,www.gimnasiobilingueobregon.edu.co,A,Mañana,"Preescolar, Básica Primaria",,,,,A+,LUIS ORLANDO GAMBOA PEREIRA,751,0,Urbana,Mixto,"-74,15787179830343","4,590979008500314"
1,311001051119,GIMNASIO MODERNO EL BOSQUE,A,No Oficial,Privado,Persona Natural,KR 107 A # 70 F - 04,4358090,4358090,gimmoder@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,MARTHA PATRICIA VANEGAS MORALES,371,0,Urbana,Mixto,"-74,1233314157289","4,706943802810552"
2,311001087491,COLEGIO MADRE ADELA HERMANAS MARIANISTAS,A,No Oficial,Privado,Comunidad Religiosa,KR 84 # 69 A - 57,2233139,2765100,colmadreadela@hotmail.com / luci_0208@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",Auditiva / Visual / Motora / Cognitiva / Autismo / Múltiple / Otra,,,,No Aplica,HNA MARTA CECILIA LOPEZ SANCHEZ,255,0,Urbana,Mixto,"-74,10639961621592","4,69176029159383"
3,311001097259,COLEGIO CATOLICO DE LA SABANA,A,No Oficial,Privado,Persona Natural,CL 77 # 113 B - 29,4403502 / 3224202806,5100134,rectoria@colegiocatolicodelasabana.edu.co / colcatdelasabana@yahoo.com,www.colegiocatolicodelasabana.edu.co,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",Visual / Motora,,Afrocolombiano,,A,PEDRO ALEJANDRO LEON CASTILLO,384,"0,87",Urbana,Mixto,"-74,12555615192052","4,7179452179725665"
4,311001099871,COLEGIO EXTERNADO BOLIVARIANO,A,No Oficial,Privado,Persona Natural,KR 73 # 106 A - 24,2270748,2270748,externadobolivariano@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,ALBA LILIA JIMENEZ,195,0,Urbana,Mixto,"-74,1218922876943","4,708738597584451"
5,311265000369,COLEGIO ADVENTISTA DEL NORTE,A,No Oficial,Privado,Comunidad Religiosa,KR 70 G # 71 - 04 / KR 70 C BIS # 71 - 03 OFICINA,2240093 / 3208019224,2240093,colegiodelnorte@gmail.com,www.colegioadventistanorte.com,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",Múltiple,,Afrocolombiano,,A,OSCAR VERGARA RAMIREZ,401,0,Urbana,Mixto,"-74,09449477196488","4,683879421831661"
6,311001038571,LICEO INFANTIL EL RINCON DE PETER PAN,A,No Oficial,Privado,Persona Natural,KR 93 D BIS # 128 B - 53,6810253 / 6836512,,patrinavas9055@yahoo.com / liceopeterpan@yahoo.com.co,,A,Mañana,Preescolar,,,,,No Aplica,CLAUDIA PATRICIA NAVAS JIMENEZ,60,0,Urbana,Mixto,"-74,09415188591925","4,7243249560209275"
7,311001044341,JARDIN INFANTIL POR UN MAÑANA,A,No Oficial,Privado,Asociación,KR 68 # 173 A - 39,6714113 / 6719986,6719986,info@jardinporunmanana.edu.co,www.jardinporunmanana.edu.co,B,Mañana,Preescolar,Motora / Cognitiva,,,,No Aplica,CARMEN ELISA TRUJILLO,109,0,Urbana,Mixto,"-74,06153339769112","4,7610440795555"
9,311769000661,COLEGIO AGUSTINIANO SUBA,A,No Oficial,Privado,Comunidad Religiosa,KR 90 # 146 C - 40,6825940 / 6815627 / 6815365,6815365 EXT 207,secacademica@agustinianosuba.edu.co / colagustin_suba@hotmail.com,www.agustinianosuba.edu.co,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A+,FRAY JAIME IVAN SANCHEZ GORDILLO,983,0,Urbana,Mixto,"-74,08329724859213","4,740733855815983"
38,311001076472,JARDIN INFANTIL EL CASTILLO MAGICO,A,No Oficial,Privado,Persona Natural,CL 27 SUR # 1 A - 46,2067281 / 3133528216,2067281,jarcasma@yahoo.com,,A,Mañana,Preescolar,,,,,No Aplica,LUZ MARINA ARANDIA VELANDIA,70,0,Urbana,Mixto,"-74,09096592093258","4,566818088738915"
39,311001039836,LICEO INTEGRAL SAN AGUSTIN,A,No Oficial,Privado,Persona Natural,KR 1 ESTE # 26 - 23 SUR,8044974,8044974,milisa2@yahoo.es / secrelisa15@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,CLAUDIA JANETH DUSSAN GOMEZ,291,"1,13",Urbana,Mixto,"-74,08961935081327","4,566175887264079"
41,311001044716,INSTITUTO PSICOPEDAGOGICO FLANDES,A,No Oficial,Privado,Persona Natural,CL 24 SUR # 9 B - 19 ESTE,2069864,2069864,colfandes@hotmail.com / asocuatro@hotmail.com,www.colflandes.edu.co,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,MARTHA JUDITH CASTRO REINA,186,0,Urbana,Mixto,"-74,08474378503288","4,566669146317021"
42,311001043591,LICEO LAS COLUMNAS,A,No Oficial,Privado,Persona Natural,KR 4 A ESTE # 32 A - 30 SUR,2061693 / 3178290448,2061693,liceo_columnas@yahoo.es,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,FABIO ENRIQUE RODRIGUEZ PEDRAZA,212,0,Urbana,Mixto,"-74,09045694627237","4,557613737344023"
43,311001047553,LICEO MI VIVIR MAGICO,A,No Oficial,Privado,Persona Natural,KR 6 ESTE # 37 C - 19 SUR,2068415 / 3142894604,,liceomagico2002@yahoo.com / liceomvm@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,ARACELY POVEDA GONZALEZ,118,"2,80",Urbana,Mixto,"-74,09080896369288","4,552776774795223"
44,311001092371,LICEO INFANTIL NUEVOS FUNDADORES,A,No Oficial,Privado,Persona Natural,KR 6 ESTE # 38 - 37 SUR,2074241 / 3646869 / 3003101552,2074241,liceo.nuevosfundadores@hotmail.com,www.liceonuevosfundadores.edu.co,A,Completa,Preescolar / Básica Primaria / Básica Secundaria,,,,,No Aplica,ELVIRA NIÑO BARRETO,519,0,Urbana,Mixto,"-74,09099007393563","4,551502805404877"
12,311001108684,COLEGIO INSTITUTO SANTIAGO DE COMPOSTELLA,A,No Oficial,Privado,Persona Natural,KR 118 # 133 - 11,6974965,6974965,colsantiagodecompostella@gmail.com,,A,Mañana / Nocturna / Fin de semana,Básica Secundaria / Media,,,,,No Aplica,PADRE ARNOLDO DE JESUS ACOSTA BENJUMEA,360,No Aplica,Urbana,Mixto,"-74,07399559357536","4,716470344347081"
13,311001010234,COLEGIO COOPERATIVO COMUNAL SAN BLAS,A,No Oficial,Privado,Cooperativa,KR 3 # 2 - 58 SUR,3503117,2806887,colegiocooperativosanblas@hotmail.com,,A,Mañana,"Básica Secundaria, Media",,,,,D,CESAR AUGUSTO MURILLO BADILLO,88,0,Urbana,Mixto,"-74,08040926107341","4,5810693175658255"
14,311001024901,COLEGIO SAN JUAN VIANETH,A,No Oficial,Privado,Sociedad,KR 2 C # 3 - 18 SUR,2804738 / 4714934 / 3144839761,,colegiosanjuanviateh@hotmail.com / colegiosanjuanvianeth@latinmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,GLORIA ESPERANZA CHUQUIN LAISECA,175,0,Urbana,Mixto,"-74,08023825867426","4,580647512486681"
15,311001075999,JARDIN INFANTIL PAOLA ISABEL,A,No Oficial,Privado,Persona Natural,KR 2 # 10 - 60 SUR,2897541 / 3123528121,,jipais@hotmail.com,,A,Mañana,Preescolar,,,,,No Aplica,MARIA CONSUELO MENDEZ PEÑA,86,0,Urbana,Mixto,"-74,08305401984748","4,576122417411303"
17,311001002681,COLEGIO SOLIS,A,No Oficial,Privado,Persona Natural,CL 19 SUR # 5 - 29,8043073 / 3209399135,,colegiosolisbogota@gmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,SANDRA PATRICIA QUINTERO,104,0,Urbana,Mixto,"-74,09005816794809","4,572774802106314"
18,311001075018,LICEO PSICOPEDAGOGICO MIS PRIMEROS AÑOS,A,No Oficial,Privado,Persona Natural,CL 20 SUR # 5 - 62,2789763 / 3112877325,,liceopsicopedagogico123@gmail.com,,A,Mañana,Preescolar,,,,,No Aplica,DORIS AMANDA GARCIA TELLEZ,28,No Aplica,Urbana,Mixto,"-74,09085228135419","4,572295808293599"
19,311001038732,JARDIN INFANTIL PATTY,A,No Oficial,Privado,Persona Natural,CL 22 SUR # 5 - 14,3615457 / 3007707413,,jardininfantilpatty@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,PATRICIA FRANCO CARDENAS,103,0,Urbana,Mixto,"-74,09053321773158","4,5720118715391145"
21,311001105961,JARDIN INFANTIL LOS PINGUINOS,A,No Oficial,Privado,Persona Natural,CL 5 SUR # 13 - 49,2391010 / 2339919 / 2891850,7032212,jardininfantillospinguinos@hotmail.com,,A,Mañana,Preescolar,,,,,No Aplica,NANCY ESLAVA ORTEGA,180,No Aplica,Urbana,Mixto,"-74,09210492093246","4,587735890431351"
23,311001096899,JARDIN INFANTIL GOMELITOS,A,No Oficial,Privado,Fundación,AC 11 SUR # 11 - 05,2338619,,jardingomelitos@hotmail.com,,A,Mañana,Preescolar,,,,,No Aplica,MARIA DEL PILAR CIFUENTES CAMARGO,35,0,Urbana,Mixto,"-74,0917968751468","4,582870212812878"
