"","mgrid","sem_count_m"
"1",15,1
"2",16,1
"3",19,1
"4",20,1
"5",21,2
"6",22,6
"7",23,3
"8",24,3
"9",26,1
"10",27,4
"11",28,9
"12",29,1
"13",30,4
"14",31,6
"15",32,7
"16",34,1
"17",36,3
"18",37,2
"19",38,3
"20",39,6
"21",40,5
"22",41,5
"23",43,1
"24",45,4
"25",46,3
"26",47,2
"27",48,1
"28",49,6
"29",50,13
"30",51,10
"31",55,5
"32",56,10
"33",57,10
"34",58,2
"35",59,8
"36",60,4
"37",61,9
"38",62,4
"39",63,2
"40",65,1
"41",66,3
"42",67,4
"43",68,12
"44",69,6
"45",70,5
"46",71,13
"47",72,13
"48",73,10
"49",75,6
"50",76,2
"51",77,8
"52",78,9
"53",79,4
"54",80,10
"55",81,6
"56",82,11
"57",83,18
"58",84,3
"59",85,7
"60",86,5
"61",87,3
"62",88,8
"63",89,7
"64",90,17
"65",91,15
"66",96,3
"67",97,2
"68",98,4
"69",99,8
"70",100,2
"71",101,7
"72",102,60
"73",107,6
"74",108,2
"75",109,1
"76",110,9
"77",111,2
"78",112,5
"79",113,31
"80",114,39
"81",116,2
"82",117,6
"83",118,8
"84",119,10
"85",120,9
"86",121,2
"87",122,5
"88",123,8
"89",124,10
"90",125,28
"91",126,26
"92",128,2
"93",129,5
"94",130,7
"95",131,18
"96",132,12
"97",133,5
"98",134,6
"99",135,13
"100",136,10
"101",137,36
"102",139,1
"103",140,11
"104",141,5
"105",142,4
"106",143,5
"107",144,8
"108",145,7
"109",146,14
"110",147,30
"111",148,46
"112",149,5
"113",150,1
"114",151,5
"115",152,8
"116",153,9
"117",154,7
"118",155,21
"119",156,22
"120",157,25
"121",160,5
"122",161,7
"123",162,18
"124",163,10
"125",164,31
"126",165,15
"127",166,5
"128",169,1
"129",170,7
"130",171,13
"131",172,5
"132",173,8
"133",174,12
"134",176,1
"135",177,3
"136",178,5
"137",179,5
"138",180,2
"139",185,1
"140",187,1
"141",189,3
"142",193,5
"143",197,3
"144",198,2
"145",202,3
"146",205,2
"147",NA,101
