ID	Latitud 	 Longitud 	Fecha	Edad	Sexo	Propiedad	Clase
512774	4,6400211	-74,1223973	08/10/2014	37	MASCULINO	S	Microbus
512825	4,7318944	-74,0749438	18/10/2014	56	MASCULINO	S	Automovil
512826	4,596632	-74,15493	22/10/2014	38	MASCULINO	S	Camioneta
512885	4,7010764	-74,1134087	22/10/2014	48	MASCULINO	N	Motocicleta
512998	4,699409	-74,0328694	01/10/2014	36	MASCULINO	N	Campero
513138	4,7241409	-74,0506148	26/10/2014	30	MASCULINO	N	Automovil
513551	4,6484947	-74,0580003	28/10/2014	36	MASCULINO	S	Motocicleta
513552	4,7191459	-74,1200474	10/10/2014	30	FEMENINO	S	Automovil
513664	4,602562	-74,1021712	10/10/2014	80	MASCULINO	S	Camioneta
513727	4,6186902	-74,0882992	11/10/2014	37	MASCULINO	N	Automovil
513733	4,6564603	-74,1385041	10/10/2014	22	FEMENINO	N	Automovil
513735	4,6386334	-74,0606491	11/10/2014	52	MASCULINO	N	Camioneta
513742	4,6320728	-74,154092	10/10/2014	53	MASCULINO	S	Automovil
512777	4,5483546	-74,1605812	21/10/2014	19	MASCULINO	N	Motocicleta
512836	4,6438552	-74,1115167	18/10/2014	34	MASCULINO	N	Camioneta
512853	4,7366697	-74,0819846	07/10/2014	53	MASCULINO	N	Volqueta
512860	4,6164357	-74,1059716	23/10/2014	58	FEMENINO	S	Automovil
513131	4,5761169	-74,1200875	26/10/2014	26	MASCULINO	N	Automovil
513134	4,6651637	-74,064366	25/10/2014	53	MASCULINO	S	Automovil
512308	4,6983477	-74,0370853	01/10/2014	47	MASCULINO	N	Automovil
512321	4,639322	-74,07896	01/10/2014	62	MASCULINO	N	Automovil
512323	4,6871523	-74,0475533	01/10/2014	38	MASCULINO	S	Automovil
512323	4,6871523	-74,0475533	01/10/2014	20	MASCULINO	N	Automovil
512324	4,6170476	-74,1713038	14/10/2014	53	MASCULINO	S	Automovil
512325	4,7221574	-74,0719705	02/10/2014	47	MASCULINO	N	Volqueta
512326	4,6402183	-74,0650608	01/10/2014	36	MASCULINO	N	Camioneta
512329	4,6587513	-74,0611646	02/10/2014	24	MASCULINO	N	Automovil
512330	4,5567955	-74,1380713	08/10/2014	44	MASCULINO	N	Bus
512414	4,6211366	-74,1254324	01/10/2014	57	MASCULINO	N	Automovil
513324	4,6494981	-74,1063465	28/10/2014	23	MASCULINO	N	Camioneta
513404	4,7220971	-74,0341546	09/10/2014	56	MASCULINO	N	Automovil
513420	4,546322	-74,136901	25/10/2014	28	MASCULINO	N	Bus
513540	4,7133358	-74,1150014	10/10/2014	42	MASCULINO	N	Microbus
513544	4,686023	-74,096134	17/10/2014	40	MASCULINO	N	Bus
513691	4,576391	-74,115549	12/10/2014	40	MASCULINO	N	Automovil
