Fecha,Clas Final,TemporadaTrafico,Eventos Especiales
1/1/14,FestivoEntreSemana,Bajo Trafico,No
1/2/14,Habil,Bajo Trafico,No
1/3/14,VisperaDescanso,Bajo Trafico,No
1/4/14,Sabado,Bajo Trafico,No
1/5/14,DomingoFestivo,Bajo Trafico,No
1/6/14,FestivoEntreSemana,Bajo Trafico,No
1/7/14,Habil,Bajo Trafico,No
1/8/14,Habil,Bajo Trafico,No
1/9/14,Habil,Bajo Trafico,No
1/10/14,VisperaDescanso,Bajo Trafico,No
1/11/14,Sabado,Bajo Trafico,No
1/12/14,DomingoFestivo,Bajo Trafico,No
1/13/14,Habil,Moderado Trafico,No
1/14/14,Habil,Moderado Trafico,No
1/15/14,Habil,Moderado Trafico,No
1/16/14,Habil,Moderado Trafico,No
1/17/14,VisperaDescanso,Moderado Trafico,No
1/18/14,Sabado,Moderado Trafico,No
1/19/14,DomingoFestivo,Moderado Trafico,No
1/20/14,Habil,Moderado Trafico,No
1/21/14,Habil,Moderado Trafico,No
1/22/14,Habil,Moderado Trafico,No
1/23/14,Habil,Moderado Trafico,No
1/24/14,VisperaDescanso,Moderado Trafico,No
1/25/14,Sabado,Moderado Trafico,No
1/26/14,DomingoFestivo,Moderado Trafico,No
1/27/14,Habil,Normal Trafico,No
1/28/14,Habil,Normal Trafico,No
1/29/14,Habil,Normal Trafico,No
1/30/14,Habil,Normal Trafico,No
1/31/14,VisperaDescanso,Normal Trafico,No
2/1/14,Sabado,Normal Trafico,No
2/2/14,DomingoFestivo,Normal Trafico,No
2/3/14,Habil,Normal Trafico,No
2/4/14,Habil,Normal Trafico,No
2/5/14,Habil,Normal Trafico,No
2/6/14,Habil,Normal Trafico,No
2/7/14,VisperaDescanso,Normal Trafico,No
2/8/14,Sabado,Normal Trafico,No
2/9/14,DomingoFestivo,Normal Trafico,No
2/10/14,Habil,Normal Trafico,No
2/11/14,Habil,Normal Trafico,No
2/12/14,Habil,Normal Trafico,No
2/13/14,Habil,Normal Trafico,No
2/14/14,VisperaDescanso,Normal Trafico,No
2/15/14,Sabado,Normal Trafico,No
2/16/14,DomingoFestivo,Normal Trafico,No
2/17/14,Habil,Normal Trafico,No
2/18/14,Habil,Normal Trafico,No
2/19/14,Habil,Normal Trafico,No
2/20/14,Habil,Normal Trafico,No
2/21/14,VisperaDescanso,Normal Trafico,No
2/22/14,Sabado,Normal Trafico,No
2/23/14,DomingoFestivo,Normal Trafico,No
2/24/14,Habil,Normal Trafico,No
2/25/14,Habil,Normal Trafico,No
2/26/14,Habil,Normal Trafico,No
2/27/14,Habil,Normal Trafico,No
2/28/14,VisperaDescanso,Normal Trafico,No
3/1/14,Sabado,Normal Trafico,No
3/2/14,DomingoFestivo,Normal Trafico,No
3/3/14,Habil,Normal Trafico,No
3/4/14,Habil,Normal Trafico,No
3/5/14,Habil,Normal Trafico,No
3/6/14,Habil,Normal Trafico,No
3/7/14,VisperaDescanso,Normal Trafico,No
3/8/14,Sabado,Normal Trafico,No
3/9/14,DomingoFestivo,Normal Trafico,No
3/10/14,Habil,Normal Trafico,No
3/11/14,Habil,Normal Trafico,No
