OBJECTID,Identificador unico del nodo,Nombre del nodo,Tipo del nodo,Modo de transporte,Modalidad de transporte,Dirección,coord_x,coord_y
81,P164,PORTAL 20 DE JULIO,Portal,Terrestre,Transporte masivo,KR 5A - CL 30D Sur,"-74,09665500301352","4,564920482649956"
82,E72,AV JIMENEZ,Estación,Terrestre,Transporte masivo,AC 13 - KR 13,"-74,07902541200002","4,6029911696511565"
83,E88,AV. EL DORADO,Estación,Terrestre,Transporte masivo,AK 30 - CL 40A,"-74,07989138599999","4,630539273652029"
84,E134,FERIAS,Estación,Terrestre,Transporte masivo,AC 80 - TV 69R,"-74,084633978","4,690942283154013"
85,E11,MOLINOS,Estación,Terrestre,Transporte masivo,Avenida Caracas - KR 8,"-74,12183362900001","4,557064378149636"
86,E28,MADELENA,Estación,Terrestre,Transporte masivo,Autopista Sur - KR 65,"-74,1569888475","4,596249019150933"
87,E58,SAN FACON CARRERA 22,Estación,Terrestre,Transporte masivo,AC 13 - KR 22,"-74,0866677965","4,609635328651391"
88,E123,CALLE 72,Estación,Terrestre,Transporte masivo,Avenida Caracas - CL 72,"-74,062092442","4,658173884652957"
89,E132,CALLE 85,Estación,Terrestre,Transporte masivo,Autopista Norte - CL 85,"-74,0596244875","4,672392921653389"
90,E92,CAMPIN,Estación,Terrestre,Transporte masivo,AK 30 - CL 53 Bis,"-74,07871265399999","4,645318648152534"
91,E120,CARRERA 47,Estación,Terrestre,Transporte masivo,AC 80 - KR 56 Bis,"-74,073613104","4,677972009653589"
92,E62,CARRERA 43,Estación,Terrestre,Transporte masivo,AC 13 - KR 42B,"-74,10144972699999","4,6227877216517985"
93,E22,AVENIDA 1 DE MAYO,Estación,Terrestre,Transporte masivo,AK 10 - CL 19 Sur,"-74,09374822000001","4,5768827346503045"
94,E78,SAN DIEGO,Estación,Terrestre,Transporte masivo,AK 10 - CL 24,"-74,071502778","4,610889731151396"
95,E76,LAS NIEVES,Estación,Terrestre,Transporte masivo,AK 10 - CL 17,"-74,0743591195","4,606006976651247"
96,E24,CIUDAD JARDÍN,Estación,Terrestre,Transporte masivo,AK 10 - CL 11 Sur,"-74,0904130715","4,581446071150465"
1,E90,PROFAMILIA,Estación,Terrestre,Transporte masivo,Avenida Caracas - CL 34,"-74,0698130545","4,62150095265177"
2,E141,PUENTELARGO,Estación,Terrestre,Transporte masivo,Avenida Suba -CL 106,"-74,067208653","4,69338993065411"
3,E108,QUIRIGUA,Estación,Terrestre,Transporte masivo,AC 80 - KR 95,"-74,10881527650002","4,706796605654546"
4,E17,QUIROGA,Estación,Terrestre,Transporte masivo,Avenida Caracas - CL 33 Sur,"-74,11437073849999","4,576805698150312"
5,E30,PATIO BONITO,Estación,Terrestre,Transporte masivo,Avenida Ciudad de Cali -CL 40 Sur,"-74,16469612650002","4,63310865815216"
6,E144,PEPE SIERRA,Estación,Terrestre,Transporte masivo,Autopista Norte - CL 114A,"-74,05532202","4,698029440654236"
7,E27,PERDOMO,Estación,Terrestre,Transporte masivo,Autopista Sur - KR 72,"-74,16498324050002","4,595780209150918"
8,E127,POLO,Estación,Terrestre,Transporte masivo,AC 80 - KR 27A,"-74,06480839050002","4,670740431653368"
