dgrid;Latitud Inferior;Latitud Superior;Longitud Inferior;Longitud Superior
1;4,81832;4,83;-74,07659;-74,04987
2;4,79364;4,81832;-74,07659;-74,04987
3;4,76897;4,79364;-74,07659;-74,04987
4;4,76897;4,79364;-74,04987;-74,02314
5;4,74429;4,76897;-74,15677;-74,13004
6;4,74429;4,76897;-74,13004;-74,10332
7;4,74429;4,76897;-74,10332;-74,07659
8;4,74429;4,76897;-74,07659;-74,04987
9;4,74429;4,76897;-74,04987;-74,02314
10;4,71961;4,74429;-74,18349;-74,15677
11;4,71961;4,74429;-74,15677;-74,13004
12;4,71961;4,74429;-74,13004;-74,10332
13;4,71961;4,74429;-74,10332;-74,07659
14;4,71961;4,74429;-74,07659;-74,04987
15;4,71961;4,74429;-74,04987;-74,02314
16;4,69494;4,71961;-74,18349;-74,15677
17;4,69494;4,71961;-74,15677;-74,13004
18;4,69494;4,71961;-74,13004;-74,10332
19;4,69494;4,71961;-74,10332;-74,07659
20;4,69494;4,71961;-74,07659;-74,04987
21;4,67026;4,69494;-74,18349;-74,15677
22;4,67026;4,69494;-74,15677;-74,13004
23;4,67026;4,69494;-74,13004;-74,10332
24;4,67026;4,69494;-74,10332;-74,07659
25;4,67026;4,69494;-74,07659;-74,04987
26;4,67026;4,69494;-74,04987;-74,02314
27;4,64558;4,67026;-74,21022;-74,18349
28;4,64558;4,67026;-74,18349;-74,15677
29;4,64558;4,67026;-74,15677;-74,13004
30;4,64558;4,67026;-74,13004;-74,10332
31;4,64558;4,67026;-74,10332;-74,07659
32;4,64558;4,67026;-74,07659;-74,04987
33;4,62091;4,64558;-74,22;-74,21022
34;4,62091;4,64558;-74,21022;-74,18349
35;4,62091;4,64558;-74,18349;-74,15677
36;4,62091;4,64558;-74,15677;-74,13004
37;4,62091;4,64558;-74,13004;-74,10332
38;4,62091;4,64558;-74,10332;-74,07659
39;4,59623;4,62091;-74,21022;-74,18349
40;4,59623;4,62091;-74,18349;-74,15677
41;4,59623;4,62091;-74,15677;-74,13004
42;4,59623;4,62091;-74,13004;-74,10332
43;4,59623;4,62091;-74,10332;-74,07659
44;4,57155;4,59623;-74,18349;-74,15677
45;4,57155;4,59623;-74,15677;-74,13004
46;4,57155;4,59623;-74,13004;-74,10332
47;4,57155;4,59623;-74,10332;-74,07659
48;4,54687;4,57155;-74,18349;-74,15677
49;4,54687;4,57155;-74,15677;-74,13004
50;4,54687;4,57155;-74,13004;-74,10332
51;4,54687;4,57155;-74,10332;-74,07659
52;4,5222;4,54687;-74,15677;-74,13004
53;4,5222;4,54687;-74,13004;-74,10332
54;4,49752;4,5222;-74,15677;-74,13004
55;4,49752;4,5222;-74,13004;-74,10332
56;4,47284;4,49752;-74,15677;-74,13004
