No. Grilla;Latitud Inferior;Latitud Superior;Longitud Inferior;Longitud Superior;01/01/2015;02/01/2015;03/01/2015;04/01/2015;05/01/2015;06/01/2015;07/01/2015;ene-15;feb-15;mar-15
1;4,82449;4,83000;-74,08327;-74,06991;;;;;;;;;;
2;4,82449;4,83000;-74,06991;-74,05655;;;;;;;;;;
3;4,82449;4,83000;-74,05655;-74,04319;;;;;;;;;;
4;4,81215;4,82449;-74,06991;-74,05655;;;;;;;;;;
5;4,81215;4,82449;-74,05655;-74,04319;;;;;;;;;;
6;4,79981;4,81215;-74,05655;-74,04319;;;;;;;;;;
7;4,78748;4,79981;-74,06991;-74,05655;;;;;;;;;;
8;4,78748;4,79981;-74,05655;-74,04319;;;;;;;;;;
9;4,78748;4,79981;-74,04319;-74,02982;;;;;;;;;;
10;4,77514;4,78748;-74,06991;-74,05655;;;;;;;;;;
11;4,77514;4,78748;-74,05655;-74,04319;;;;;;;;;;
12;4,77514;4,78748;-74,04319;-74,02982;;;;;;;;;;
13;4,76280;4,77514;-74,08327;-74,06991;;;;;;;;;;
14;4,76280;4,77514;-74,06991;-74,05655;;;;;;;;;;
15;4,76280;4,77514;-74,05655;-74,04319;;;;;;;;;;
16;4,76280;4,77514;-74,04319;-74,02982;;;;;;;;;;
17;4,75046;4,76280;-74,13672;-74,12336;;;;;;;;;;
18;4,75046;4,76280;-74,12336;-74,11000;;;;;;;;;;
19;4,75046;4,76280;-74,11000;-74,09664;;;;;;;;;;
20;4,75046;4,76280;-74,09664;-74,08327;;;;;;;;;;
21;4,75046;4,76280;-74,08327;-74,06991;;;;;;;;;;
22;4,75046;4,76280;-74,06991;-74,05655;;;;;;;;;;
23;4,75046;4,76280;-74,05655;-74,04319;;;;;;;;;;
24;4,75046;4,76280;-74,04319;-74,02982;;;;;;;;;;
25;4,73812;4,75046;-74,13672;-74,12336;;;;;;;;;;
26;4,73812;4,75046;-74,12336;-74,11000;;;;;;;;;;
27;4,73812;4,75046;-74,11000;-74,09664;;;;;;;;;;
28;4,73812;4,75046;-74,09664;-74,08327;;;;;;;;;;
29;4,73812;4,75046;-74,08327;-74,06991;;;;;;;;;;
30;4,73812;4,75046;-74,06991;-74,05655;;;;;;;;;;
31;4,73812;4,75046;-74,05655;-74,04319;;;;;;;;;;
32;4,73812;4,75046;-74,04319;-74,02982;;;;;;;;;;
33;4,72578;4,73812;-74,15009;-74,13672;;;;;;;;;;
34;4,72578;4,73812;-74,13672;-74,12336;;;;;;;;;;
35;4,72578;4,73812;-74,12336;-74,11000;;;;;;;;;;
36;4,72578;4,73812;-74,11000;-74,09664;;;;;;;;;;
37;4,72578;4,73812;-74,09664;-74,08327;;;;;;;;;;
38;4,72578;4,73812;-74,08327;-74,06991;;;;;;;;;;
39;4,72578;4,73812;-74,06991;-74,05655;;;;;;;;;;
40;4,72578;4,73812;-74,05655;-74,04319;;;;;;;;;;
41;4,72578;4,73812;-74,04319;-74,02982;;;;;;;;;;
