"mgrid","Latitud.Inferior","Latitud.Superior","Longitud.Inferior","Longitud.Superior","semaf_count_m","colegios_count_m","paraderos_count_m","parques_count_m","estaciones_count_m","viasprincipales_count_m","viassecundarias_count_m","viviendas_count_m","hogares_count_m","personas_count_m","comercial_count_m","lotes_count_m"
1,4.82449,4.83,-74.08327,-74.06991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,4.82449,4.83,-74.06991,-74.05655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4.82449,4.83,-74.05655,-74.04319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4.81215,4.82449,-74.06991,-74.05655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,4.81215,4.82449,-74.05655,-74.04319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,4.79981,4.81215,-74.05655,-74.04319,NA,3,2,NA,0,2,13,NA,NA,NA,NA,NA
7,4.78748,4.79981,-74.06991,-74.05655,NA,4,NA,5,0,NA,10,NA,NA,NA,NA,NA
8,4.78748,4.79981,-74.05655,-74.04319,NA,13,10,2,0,1,19,NA,NA,NA,NA,NA
9,4.78748,4.79981,-74.04319,-74.02982,NA,3,7,4,0,3,17,NA,NA,NA,NA,NA
10,4.77514,4.78748,-74.06991,-74.05655,NA,2,NA,1,0,NA,15,NA,NA,NA,NA,NA
11,4.77514,4.78748,-74.05655,-74.04319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,4.77514,4.78748,-74.04319,-74.02982,NA,NA,4,4,0,2,38,56,54,206,55,60
13,4.7628,4.77514,-74.08327,-74.06991,NA,1,NA,3,0,1,52,NA,NA,NA,NA,NA
14,4.7628,4.77514,-74.06991,-74.05655,NA,11,1,NA,0,1,58,831,767,3130,15,289
15,4.7628,4.77514,-74.05655,-74.04319,1,6,10,13,3,2,107,5848,5557,18346,200,320
16,4.7628,4.77514,-74.04319,-74.02982,1,10,31,20,0,1,342,5355,5625,18169,802,2024
17,4.75046,4.7628,-74.13672,-74.12336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,4.75046,4.7628,-74.12336,-74.11,NA,4,21,16,0,NA,328,4133,4849,18536,46,2473
