VIVIENDAS,HOGAR,PERSONA,Comercial,Lotes,Longitud,Latitud
11,11,38,0,1,-74.2165491,4.6155715
3,4,14,0,23,-74.21513529,4.615687377
12,15,54,0,21,-74.21477481,4.61367454
9,13,48,0,22,-74.2146816,4.613420232
25,25,101,0,39,-74.21449005,4.613247866
6,6,18,0,7,-74.21440822,4.615019948
5,5,21,0,7,-74.21433278,4.614034085
18,21,66,0,23,-74.21432607,4.614690215
11,14,59,0,20,-74.21411545,4.61501273
11,14,59,0,15,-74.21407995,4.613965562
4,4,26,0,5,-74.21393076,4.614626391
30,33,156,6,20,-74.21386285,4.615109916
59,64,280,0,7,-74.21384356,4.615922129
24,33,140,0,22,-74.21368401,4.613679632
16,22,79,9,18,-74.21365207,4.6145698
17,20,79,0,17,-74.21361713,4.613958407
14,21,81,5,23,-74.213382,4.614618896
7,8,37,0,7,-74.21326845,4.61488233
33,36,132,0,19,-74.21299557,4.612820482
5,6,45,0,8,-74.21290234,4.61605943
6,13,51,0,5,-74.21288517,4.615713887
41,44,178,0,42,-74.21271311,4.611472244
6,23,85,0,6,-74.21220304,4.614406966
137,148,616,15,1,-74.21219783,4.611030141
19,20,68,0,26,-74.21197982,4.616105686
43,46,183,0,42,-74.21193173,4.612331636
14,14,54,0,18,-74.21185437,4.615340761
14,19,79,0,2,-74.21176855,4.614344919
143,151,598,12,2,-74.21151226,4.611781389
11,12,59,0,1,-74.21148068,4.617542074
4,4,12,0,7,-74.21134354,4.617278253
3,3,17,0,12,-74.21123986,4.61699478
4,4,16,0,3,-74.21114564,4.616655712
13,13,52,0,6,-74.21106565,4.615602194
30,35,138,11,5,-74.21105545,4.614039535
14,15,56,0,26,-74.21104235,4.616306388
222,224,904,16,2,-74.21102899,4.611033143
0,0,0,0,5,-74.21102829,4.61265822
202,197,710,15,4,-74.21065365,4.608972864
0,0,0,0,30,-74.21057432,4.613564461
14,17,71,0,12,-74.2102702,4.613391214
38,42,164,0,56,-74.21000726,4.614757102
6,7,24,0,24,-74.20999555,4.613225626
238,232,913,20,2,-74.209801,4.60951793
96,97,377,5,5,-74.20961833,4.611471974
169,177,728,7,4,-74.2095095,4.607605777
5,6,32,0,15,-74.20940248,4.613646868
9,10,44,0,16,-74.20915187,4.613461397
13,16,63,0,16,-74.20890217,4.613280853
14,16,53,0,28,-74.20887371,4.614282734
11,12,49,0,17,-74.20877318,4.606186694
158,157,624,7,3,-74.20875781,4.608362756
26,37,157,0,35,-74.20872094,4.612534471
18,29,113,0,13,-74.2086388,4.613173858
16,16,89,0,21,-74.20853619,4.60635453
30,37,131,0,55,-74.20847896,4.613954851
22,33,124,0,25,-74.20829097,4.606521238
15,18,72,0,12,-74.20825213,4.612084626
25,33,115,0,44,-74.20824347,4.60591544
288,296,1125,23,4,-74.20819628,4.609191288
9,14,57,0,11,-74.2081196,4.612345846
19,20,84,0,24,-74.20809306,4.605663864
26,37,126,0,30,-74.20809077,4.612970382
31,38,147,0,30,-74.20805264,4.606692631
11,17,67,0,11,-74.20800156,4.612591106
29,43,161,0,26,-74.20792555,4.613191526
7,9,46,0,6,-74.20789837,4.611953879
57,90,357,6,68,-74.20784176,4.613701473
35,52,184,8,33,-74.20778264,4.606880663
7,9,32,0,13,-74.20772018,4.61998467
10,10,37,0,16,-74.20769973,4.619746321
14,18,80,0,16,-74.20768749,4.612136283
66,126,625,0,11,-74.20762066,4.623111468
36,47,194,0,37,-74.20753532,4.607054856
6,7,32,0,33,-74.20749521,4.604791733
25,38,151,10,24,-74.20747171,4.612330653
21,24,99,0,17,-74.2074675,4.615230528
64,122,605,0,19,-74.20740532,4.623207235
23,42,179,0,22,-74.20735998,4.612597451
302,320,1332,29,4,-74.20734957,4.609712133
11,11,54,0,12,-74.20733623,4.620216819
32,42,181,6,42,-74.20728593,4.60722685
18,30,124,0,21,-74.20725963,4.612850093
70,132,654,0,14,-74.20725253,4.619928353
21,32,111,6,23,-74.20723225,4.61338576
28,30,119,0,27,-74.20717399,4.614240291
9,10,36,0,16,-74.20716885,4.619668801
15,15,73,0,17,-74.20714694,4.623317117
5,7,28,0,6,-74.20706023,4.621898111
39,47,193,0,46,-74.20703882,4.607400782
21,35,144,0,23,-74.20699282,4.613208071
16,19,74,0,13,-74.20698936,4.613916207
46,64,245,6,51,-74.20696194,4.606509442
5,7,39,0,5,-74.20695867,4.621677802
27,29,119,0,53,-74.20693717,4.62292997
10,14,58,0,20,-74.206891,4.623425425
5,5,16,0,7,-74.20686908,4.612150581
16,19,88,0,7,-74.20686591,4.60537877
19,27,99,0,27,-74.20683947,4.606246716
43,46,173,0,53,-74.20681286,4.622641266
10,9,28,0,17,-74.20679475,4.621873786
15,20,86,0,14,-74.20679303,4.612364283
43,64,284,8,49,-74.20678975,4.607574761
6,8,29,0,6,-74.20675886,4.614175248
5,5,24,0,10,-74.20672671,4.621093885
12,12,52,0,13,-74.20671186,4.612624612
18,20,86,6,21,-74.20669049,4.608127428
39,40,185,0,53,-74.20668055,4.622354138
31,39,157,0,43,-74.20665687,4.613674728
13,14,55,0,19,-74.20663331,4.623538563
12,17,74,0,15,-74.20663227,4.612881265
15,13,58,0,18,-74.20654538,4.621978678
43,49,254,0,9,-74.20650881,4.621232471
239,255,1026,25,3,-74.20650473,4.610235589
23,26,115,0,28,-74.2064932,4.605155901
36,37,157,0,44,-74.20641168,4.61673025
29,32,127,0,34,-74.20639168,4.613419921
17,17,68,0,52,-74.20636676,4.621629589
76,95,397,8,20,-74.20636109,4.605674916
8,7,34,0,9,-74.20635201,4.604886317
24,25,100,0,27,-74.20631134,4.607834454
15,17,65,0,16,-74.20629066,4.622089771
7,6,25,5,14,-74.20627774,4.612414458
25,29,106,0,33,-74.2061218,4.607596885
10,12,52,0,12,-74.20611507,4.613044664
20,22,100,0,31,-74.20611507,4.623737729
230,240,945,14,1,-74.20604444,4.637205773
18,19,56,0,19,-74.20604109,4.622198117
8,8,40,0,12,-74.20601613,4.613328985
29,35,118,0,29,-74.20599589,4.623475411
21,27,112,12,26,-74.20598712,4.608840097
9,9,41,0,13,-74.20592688,4.613600045
28,42,173,9,40,-74.20590953,4.607334638
24,28,112,5,29,-74.20587597,4.623212516
32,33,144,0,30,-74.20584861,4.6241153
17,19,104,0,17,-74.20582658,4.622449831
10,12,46,0,2,-74.20581454,4.618569556
52,103,516,0,6,-74.20579393,4.621572658
16,19,90,0,121,-74.20576921,4.61585309
17,19,77,0,35,-74.2057637,4.608655047
40,48,196,5,43,-74.20571895,4.607099619
31,36,153,0,26,-74.20569625,4.605569749
268,268,914,18,1,-74.20564261,4.636315573
14,22,96,0,16,-74.20559536,4.621938942
14,18,78,0,17,-74.20558879,4.618528282
15,19,76,0,16,-74.20556517,4.622569739
8,9,33,0,3,-74.20555284,4.605298115
26,35,131,6,39,-74.20550042,4.608531057
29,39,173,0,17,-74.20549784,4.606456656
36,44,195,0,55,-74.20545268,4.623087675
16,20,106,0,41,-74.20543516,4.606972266
22,23,102,0,27,-74.20536552,4.624081204
14,21,77,0,13,-74.20534874,4.622077795
17,24,90,0,18,-74.20534532,4.618626583
14,18,64,0,18,-74.20530276,4.622691147
24,26,112,0,28,-74.20527097,4.62380942
32,38,144,8,44,-74.20520554,4.608390302
11,12,59,0,15,-74.20517829,4.618291295
21,24,82,0,23,-74.20517174,4.623535806
17,20,89,0,17,-74.20510303,4.618726264
42,53,226,0,17,-74.20509824,4.606296436
12,13,57,0,12,-74.20509296,4.622229679
15,19,74,0,18,-74.20496417,4.622994226
31,39,158,0,28,-74.20494802,4.605955637
34,43,165,0,48,-74.20494228,4.608260786
15,17,59,0,17,-74.2048777,4.622737411
7,7,28,8,26,-74.20486774,4.621816797
15,23,80,0,17,-74.20486317,4.618828139
5,5,21,0,2,-74.20480548,4.60568272
14,17,85,7,16,-74.20478707,4.6224069
122,124,488,10,1,-74.2047555,4.636718832
29,39,157,0,40,-74.2046834,4.608135312
246,262,1016,9,1,-74.2046457,4.634117367
55,82,321,7,15,-74.20460897,4.606547242
11,12,55,0,10,-74.20457934,4.621174128
10,13,54,0,11,-74.20447776,4.61723066
3,3,10,0,3,-74.20438807,4.623559877
27,36,120,0,26,-74.20433805,4.618925139
165,155,510,7,1,-74.20424393,4.633227224
25,28,102,0,27,-74.2041794,4.60635511
