FID,Código Único Paradero SITP,Nombre Paradero,Dirección Paradero,coord_x,coord_y
1,005A13,Instituto Nacional de Cancerología,AC 1 - KR 9,"-74,08405271557639","4,588804063714636"
15,517A13,Instituto Nacional de Cancerología,AC 1 - KR 9,"-74,08455888659458","4,588960319028887"
38,001C03,Br. Julio Flórez,AC 100 - KR 65,"-74,07051062344807","4,689732136828029"
57,212A00,Centro Empresarial Calle 100,AC 100 - AK 19,"-74,05275997541762","4,685814743388276"
59,212C00,Centro Empresarial Calle 100,AC 100 - TV 21,"-74,0537952613247","4,685976764544453"
70,255A01,Br. Santa Bárbara Central,AC 116 - KR 14-46,"-74,04126817383927","4,69614982386409"
71,020A01,Br. Santa Bárbara Occidental,AC 116 - KR 15B,"-74,04478424633665","4,697185561113243"
105,185A03,Br. Niza Norte,AC 127 - KR 71,"-74,07651117101831","4,7104774478793"
106,187A03,Avenida Boyacá,AC 127 - AV. Boyacá,"-74,07905422882412","4,7100890864586935"
111,148A02,Br. El Batán,AC 127 - KR 57,"-74,06956076373126","4,711068522073081"
119,185A01,Hotel Estelar la Fontana,AC 127 - KR 15A,"-74,044047494853","4,7040470364312075"
122,178A01,Instituto Pedagógico Nacional,AC 127 - KR 11C,"-74,0358742352242","4,70390569439406"
130,370A07,Estación Zona Industrial,AC 13 - KR 38,"-74,09830423423404","4,620253908257787"
137,021A06,Br. Montevideo,AV. Centenario - KR 68B,"-74,12397527692059","4,644433629602737"
143,017A06,Urb. Valparaíso,AV. Centenario - KR 96B,"-74,14436799955904","4,665349000314"
158,014A07,Br. Sabana Grande,AV. Centenario - KR 104,"-74,15225275804784","4,67137897568462"
164,019A07,Br. Interindustrial,AV. Centenario - KR 78G,"-74,13060845853809","4,653386595328474"
166,073A07,Br. Villa Alsacia,AV. Centenario - AV. Boyacá,"-74,12462496009363","4,645990006920972"
172,023A07,Salazar Gómez,AV. Centenario - KR 56,"-74,11022902018608","4,629852630842196"
175,366A07,Colegio La Merced,AC 13 - TV 42,"-74,10047086559644","4,621670897260033"
177,368A07,Secretaría Distrital de Salud,AC 13 - KR 32,"-74,09406630971031","4,615952386901927"
181,263A01,Br. Lisboa,AC 134 - AK 7,"-74,03040383291044","4,712153312744153"
200,119A02,Br. Prado Veraniego,AC 134 - KR 49A,"-74,05588231452934","4,719061094216042"
201,042A01,Colegio Sto. Tomas de Aquino,AC 134 - KR 21,"-74,04944341155834","4,7183114841896705"
211,245A00,Br. Las Nieves,AC 19 - KR 7,"-74,07081738284624","4,60500147633869"
243,255A00,Br. El Listón,AC 19 - KR 22,"-74,08287993532856","4,613494024399548"
259,795A00,Br. Estrella,AC 26 - KR 19,"-74,07521348721677","4,619233638499173"
265,462A05,Hemeroteca Nacional,AC 26 - KR 44A,"-74,09206327773083","4,636630982377209"
268,413A06,Estación CAN,AC 26 - KR 59,"-74,09791583863779","4,645816123709867"
