OBJECTID,Identificador del parque,Estrato,UPZ,Localidad,Estado Certificación,Clasificación del Parque,Nombre del Parque,Administración del Parque,Código Localidad,Código POT,coord_x,coord_y
2,01-526,3,14,Usaquén,CERTIFICADO,Vecinal,DESARROLLO RESIDENCIAL CERROS DEL COUNTRY,,1,,"-74,02525998976205","4,701549179907316"
13,04-380,3,33,San Cristobal,CERTIFICADO,Vecinal,SANTA ANA SUR ETAPA I,,4,,"-74,08135252985099","4,575140846781565"
14,12-175,4,22,Barrios Unidos,CERTIFICADO,Vecinal,URBANIZACIÓN CIUDADELA LOS PARQUES ETAPA II,,12,,"-74,08251391541859","4,663209907864102"
23,10-741,3,73,Engativa,CERTIFICADO,Vecinal,DESARROLLO LOS ÁNGELES III,,10,,"-74,11740041438048","4,698698021134308"
24,10-742,3,26,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN MARCELA,,10,,"-74,0902736508777","4,674571544066925"
30,10-613,3,31,Engativa,CERTIFICADO,Vecinal,PARQUE EMPRESARIAL NORMANDÍA - BODEGAS,,10,,"-74,10622592650657","4,677774776494316"
32,08-703,3,46,Kennedy,CERTIFICADO,Vecinal,LA PROMESA I,,8,,"-74,13776004218555","4,6525535581555175"
33,19-014,2,66,Ciudad Bolivar,SIN CERTIFICAR,Vecinal,CANDELARIA LA NUEVA,,19,,"-74,14738703600634","4,567698461074125"
36,08-526,3,45,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN NUEVAS DELICIAS,,8,,"-74,14691363597888","4,596390931877242"
38,08-214,3,44,Kennedy,CERTIFICADO,Vecinal,LAS AMÉRICAS SECTOR AVENIDA GALÁN,,8,,"-74,13831824362501","4,619343352450362"
44,10-574,3,116,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN LOS ÁNGELES,,10,,"-74,12285497310756","4,696842990030563"
46,08-707,3,112,Kennedy,INVESTIGADO NO CERTIFICADO,Vecinal,VILLA ALSACIA LOTE 1,,8,,"-74,1252898499478","4,646194283147356"
49,11-566,3,27,Suba,CERTIFICADO,Vecinal,LA FONTANA,,11,,"-74,10354057870387","4,751662799474123"
53,01-337,3,9,Usaquén,CERTIFICADO,Bolsillo,URBANIZACIÓN VILLAS DE ANDALUCÍA I ETAPA,,1,,"-74,03189673858955","4,7568657121928375"
57,18-016,3,36,Rafael Uribe,CERTIFICADO,Vecinal,URBANIZACIÓN GUSTAVO RESTREPO,,18,,"-74,10734943550852","4,574936516384889"
58,18-073,3,53,Rafael Uribe,SIN CERTIFICAR,Metropolitano Propuesto,SANTA LUCIA,,18,PM20,"-74,1204016511596","4,573654434561915"
66,18-139,2,55,Rafael Uribe,CERTIFICADO,Bolsillo,DESARROLLO PALERMO SUR,,18,,"-74,11101828763039","4,5418039743546625"
73,18-436,3,39,Rafael Uribe,CERTIFICADO,Vecinal,"URBANIZACIÓN QUIROGA IV, V, VI ETAPAS",,18,,"-74,11250874540033","4,580465738162404"
77,18-220,3,39,Rafael Uribe,CERTIFICADO,Vecinal,"URBANIZACIÓN QUIROGA I, II, III ETAPA",,18,,"-74,10910228174066","4,578783768498136"
80,18-268,2,53,Rafael Uribe,CERTIFICADO,Vecinal,URBANIZACIÓN HACIENDA LOS MOLINOS,,18,,"-74,10951733663961","4,563837487659926"
81,19-059,1,70,Ciudad Bolivar,INVESTIGADO NO CERTIFICADO,Vecinal,DESARROLLO JERUSALEM,,19,,"-74,17038067379394","4,5665005121496165"
90,10-249,3,30,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN FLORENCIA I SECTOR,,10,,"-74,10497759255347","4,701000989971259"
91,19-058,1,70,Ciudad Bolivar,CERTIFICADO,Vecinal,DESARROLLO ARBORIZADORA ALTA,,19,,"-74,16317186791204","4,566116927570912"
95,07-406,2,84,Bosa,CERTIFICADO,Bolsillo,DESARROLLO MIAMI,,7,,"-74,19008601141603","4,620500526726202"
99,19-446,1,67,Ciudad Bolivar,CERTIFICADO,Vecinal,DESARROLLO ALTOS DE JALISCO,,19,,"-74,14128115468083","4,555826535811949"
113,19-266,2,65,Ciudad Bolivar,CERTIFICADO,Vecinal,"URBANIZACIÓN PROTECHO BOGOTÁ II, ETAPA I",,19,,"-74,14583328069568","4,571950988908673"
114,19-253,2,65,Ciudad Bolivar,CERTIFICADO,Bolsillo,DESARROLLO ARBORIZADORA BAJA,,19,,"-74,14967404206598","4,572640451029976"
117,19-211,2,65,Ciudad Bolivar,CERTIFICADO,Bolsillo,DESARROLLO ARBORIZADORA BAJA,,19,,"-74,15267625531379","4,573644281564979"
121,19-051,2,66,Ciudad Bolivar,CERTIFICADO,Bolsillo,URBANIZACIÓN CANDELARIA LA NUEVA PRIMER SECTOR,,19,,"-74,15003777711104","4,570698883077776"
126,19-067,1,70,Ciudad Bolivar,INVESTIGADO NO CERTIFICADO,Bolsillo,DESARROLLO JERUSALEM,,19,,"-74,15980656595701","4,57390249662931"
127,19-068,2,69,Ciudad Bolivar,INVESTIGADO NO CERTIFICADO,Vecinal,DESARROLLO SIERRA MORENA,,19,,"-74,1629277960985","4,583184794817685"
132,07-313,2,85,Bosa,CERTIFICADO,Bolsillo,DESARROLLO PROVIDENCIA,,7,,"-74,21341348831602","4,61534351978531"
133,05-113,1,58,Usme,CERTIFICADO,Bolsillo,SERRANÍAS,,5,,"-74,1134439827901","4,499303054164189"
